
Scan Time:     2024-04-09 10:56:28
Target File:   /home/kali/sync/dora.bin
MD5 Checksum:  d58d75d707e56b378367c301cc317aee
Signatures:    445
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
137           0x89            Intel x86 or x64 microcode, sig 0x0978a093, pf_mask 0xab93119a, A800-11-DA, size 2928873806
4445          0x115D          VxWorks symbol table, little endian, first entry: [type: function, code address: 0x10B0820, symbol address: 0x42DA8898],,,,,,,,,
11094         0x2B56          Intel x86 or x64 microcode, sig 0x0001c817, pf_mask 0xc816ffff, 0420-FF-FF, rev 0xfd02, size 64770
11108         0x2B64          Intel x86 or x64 microcode, sig 0x0001c816, pf_mask 0x2018ffff, 0420-FF-FF, rev 0xfd02, size 64770
11122         0x2B72          Intel x86 or x64 microcode, sig 0x00022018, pf_mask 0x2017ffff, 0420-FF-FF, rev 0xfd02, size 64770
11180         0x2BAC          VxWorks symbol table, big endian, first entry: [type: function, code address: 0x1002802, symbol address: 0x74414701],,,,,,,,,
450596        0x6E024         Intel x86 or x64 microcode, sig 0xaaaaaaaa, pf_mask 0xaaaaaaaa, 0005-AA-AA, rev 0x60824, size 11184810
450644        0x6E054         Intel x86 or x64 microcode, sig 0xffffffff, pf_mask 0xffffffff, 0002-FF-FF, rev 0x0001, size 4294967295
450648        0x6E058         Intel x86 or x64 microcode, sig 0xffffffff, pf_mask 0xffffffff, FFFF-FF-FF, rev 0x-fffe, size 4294967295
454692        0x6F024         Intel x86 or x64 microcode, sig 0xaaaaaaaa, pf_mask 0xaaaaaaaa, 0005-AA-AA, rev 0x60824, size 11184810
454740        0x6F054         Intel x86 or x64 microcode, sig 0xffffffff, pf_mask 0xffffffff, 0002-FF-FF, rev 0x0001, size 4294967295
454744        0x6F058         Intel x86 or x64 microcode, sig 0xffffffff, pf_mask 0xffffffff, FFFF-FF-FF, rev 0x-fffe, size 4294967295
500654        0x7A3AE         Intel x86 or x64 microcode, sig 0x00030002, pf_mask 0x60005, 0000-00-00, size 2048
501124        0x7A584         Intel x86 or x64 microcode, sig 0x00080000, pf_mask 0x40008, 0000-00-00, rev 0x40008, size 524288
501144        0x7A598         Intel x86 or x64 microcode, sig 0x00080000, pf_mask 0x20005, 0000-00-00, rev 0x40008, size 131080
501238        0x7A5F6         Intel x86 or x64 microcode, sig 0x00020000, pf_mask 0x40002, 0000-00-00, rev 0x40002, size 131072
501258        0x7A60A         Intel x86 or x64 microcode, sig 0x00020000, pf_mask 0x40002, 0000-00-00, rev 0x40002, size 131072
501278        0x7A61E         Intel x86 or x64 microcode, sig 0x00020000, pf_mask 0x40002, 0000-00-00, rev 0x40002, size 131072
501298        0x7A632         Intel x86 or x64 microcode, sig 0x00020000, pf_mask 0x770040, 0000-00-00, rev 0x40002, size 21
502337        0x7AA41         EFS2 Qualcomm filesystem super block, little endian, , NOR version 0x4f00, 805315840 blocks, 0x32003000 pages per block, 0x2f006400 bytes per page
502785        0x7AC01         EFS2 Qualcomm filesystem super block, little endian, , NOR version 0x4100, 1090540288 blocks, 0x30004100 pages per block, 0x3a00 bytes per page
502807        0x7AC17         EFS2 Qualcomm filesystem super block, little endian, , NOR version 0x4100, 1157649408 blocks, 0x31004100 pages per block, 0x3a00 bytes per page
503552        0x7AF00         Intel x86 or x64 microcode, sig 0x000f0003, pf_mask 0x30632042, 0000-00-01, rev 0x14260000, size 1894211782
504756        0x7B3B4         Intel x86 or x64 microcode, sig 0x00800003, pf_mask 0x04, 0040-00-00, rev 0x20000, size 270498
504812        0x7B3EC         Intel x86 or x64 microcode, sig 0x00050000, pf_mask 0x40005, 0000-00-00, rev 0x40005, size 327680
504832        0x7B400         Intel x86 or x64 microcode, sig 0x00050000, pf_mask 0x40005, 0000-00-00, rev 0x40005, size 327680
504852        0x7B414         Intel x86 or x64 microcode, sig 0x00050000, pf_mask 0x40005, 0000-00-00, rev 0x40005, size 327680
504872        0x7B428         Intel x86 or x64 microcode, sig 0x00050000, pf_mask 0x40005, 0000-00-00, rev 0x40005, size 327680
504892        0x7B43C         Intel x86 or x64 microcode, sig 0x00050000, pf_mask 0x40005, 0000-00-00, rev 0x40005, size 327680
504912        0x7B450         Intel x86 or x64 microcode, sig 0x00050000, pf_mask 0x40005, 0000-00-00, rev 0x40005, size 1048576
504932        0x7B464         Intel x86 or x64 microcode, sig 0x00100000, pf_mask 0x01, 0000-00-00, rev 0x40005, size 2
504956        0x7B47C         Intel x86 or x64 microcode, sig 0x00020008, pf_mask 0x10000, 0002-00-00, rev 0x20008, size 4
504982        0x7B496         Intel x86 or x64 microcode, sig 0x00080000, pf_mask 0x40008, 0000-00-00, rev 0x40008, size 524288
505002        0x7B4AA         Intel x86 or x64 microcode, sig 0x00080000, pf_mask 0x40008, 0000-00-00, rev 0x40008, size 524288
505022        0x7B4BE         Intel x86 or x64 microcode, sig 0x00080000, pf_mask 0x40008, 0000-00-00, rev 0x40008, size 524288
505042        0x7B4D2         Intel x86 or x64 microcode, sig 0x00080000, pf_mask 0x40008, 0000-00-00, rev 0x40008, size 1048576
505062        0x7B4E6         Intel x86 or x64 microcode, sig 0x00100000, pf_mask 0x01, 0000-00-00, rev 0x40008, size 2
