DECIMAL,HEXADECIMAL,DESCRIPTION
1,1,"ARM executable code, 16-bit (Thumb), big endian, at least 253 valid instructions"
2096812,2096812,"MIPS executable code, 32/64-bit, big endian, at least 116 valid instructions"
2097607,2097607,"ARM executable code, 16-bit (Thumb), big endian, at least 188 valid instructions"
3145729,3145729,"ARM executable code, 16-bit (Thumb), little endian, at least 135 valid instructions"
4194456,4194456,"ARM executable code, 16-bit (Thumb), little endian, at least 127 valid instructions"
5922815,5922815,"ARM executable code, 16-bit (Thumb), big endian, at least 450 valid instructions"
6340333,6340333,"ARM executable code, 16-bit (Thumb), little endian, at least 105 valid instructions"
8388606,8388606,"MIPS executable code, 32/64-bit, little endian, at least 192 valid instructions"
DECIMAL,HEXADECIMAL,DESCRIPTION
51500,51500,"Zlib compressed data, best compression"
52519,52519,"Zlib compressed data, best compression"
433212,433212,LZ4 compressed data
434288,434288,LZ4 compressed data
541900,541900,"SHA256 hash constants, little endian"
548996,548996,"CRC32 polynomial table, little endian"
553092,553092,"CRC32 polynomial table, big endian"
2097944,2097944,LZ4 compressed data
2237513,2237513,LZ4 compressed data
2252642,2252642,LZ4 compressed data
2531196,2531196,LZ4 compressed data
2531276,2531276,LZ4 compressed data
2531437,2531437,LZ4 compressed data
2531586,2531586,LZ4 compressed data
2532148,2532148,LZ4 compressed data
2532412,2532412,LZ4 compressed data
2533039,2533039,LZ4 compressed data
2536657,2536657,LZ4 compressed data
2536786,2536786,LZ4 compressed data
2538813,2538813,LZ4 compressed data
2538957,2538957,LZ4 compressed data
2540111,2540111,LZ4 compressed data
2540296,2540296,LZ4 compressed data
2546654,2546654,LZ4 compressed data
2547049,2547049,LZ4 compressed data
2547383,2547383,LZ4 compressed data
2547460,2547460,LZ4 compressed data
2547939,2547939,LZ4 compressed data
2548060,2548060,LZ4 compressed data
2548997,2548997,LZ4 compressed data
2549052,2549052,LZ4 compressed data
2555154,2555154,LZ4 compressed data
2555209,2555209,LZ4 compressed data
2599562,2599562,LZ4 compressed data
2599617,2599617,LZ4 compressed data
2615588,2615588,LZ4 compressed data
2616284,2616284,LZ4 compressed data
2618195,2618195,LZ4 compressed data
2618496,2618496,LZ4 compressed data
2673535,2673535,LZ4 compressed data
2673654,2673654,LZ4 compressed data
2673773,2673773,LZ4 compressed data
2674053,2674053,LZ4 compressed data
2674795,2674795,LZ4 compressed data
2677340,2677340,LZ4 compressed data
2677560,2677560,LZ4 compressed data
2678190,2678190,LZ4 compressed data
2678309,2678309,LZ4 compressed data
2678785,2678785,LZ4 compressed data
2679944,2679944,LZ4 compressed data
2680220,2680220,LZ4 compressed data
2680784,2680784,LZ4 compressed data
2681713,2681713,LZ4 compressed data
2682019,2682019,LZ4 compressed data
2688132,2688132,LZ4 compressed data
2688724,2688724,LZ4 compressed data
2697268,2697268,LZ4 compressed data
2697947,2697947,LZ4 compressed data
2702979,2702979,LZ4 compressed data
2703432,2703432,LZ4 compressed data
2708747,2708747,LZ4 compressed data
2709831,2709831,LZ4 compressed data
2720937,2720937,LZ4 compressed data
2722262,2722262,LZ4 compressed data
2726197,2726197,LZ4 compressed data
2727268,2727268,LZ4 compressed data
2730850,2730850,LZ4 compressed data
2731096,2731096,LZ4 compressed data
2731452,2731452,LZ4 compressed data
2731758,2731758,LZ4 compressed data
2732885,2732885,LZ4 compressed data
2733513,2733513,LZ4 compressed data
2736945,2736945,LZ4 compressed data
2737713,2737713,LZ4 compressed data
2740634,2740634,LZ4 compressed data
2741296,2741296,LZ4 compressed data
2745761,2745761,LZ4 compressed data
2864408,2864408,LZ4 compressed data
2867243,2867243,LZ4 compressed data
2869440,2869440,LZ4 compressed data
2871986,2871986,LZ4 compressed data
2874828,2874828,LZ4 compressed data
2878145,2878145,LZ4 compressed data
2883183,2883183,LZ4 compressed data
2886586,2886586,LZ4 compressed data
2891014,2891014,LZ4 compressed data
2895279,2895279,LZ4 compressed data
2899719,2899719,LZ4 compressed data
2903811,2903811,LZ4 compressed data
2907690,2907690,LZ4 compressed data
2911365,2911365,LZ4 compressed data
2914424,2914424,LZ4 compressed data
2918509,2918509,LZ4 compressed data
2921444,2921444,LZ4 compressed data
2924393,2924393,LZ4 compressed data
2927876,2927876,LZ4 compressed data
2930170,2930170,LZ4 compressed data
2933075,2933075,LZ4 compressed data
2935946,2935946,LZ4 compressed data
2939029,2939029,LZ4 compressed data
2941127,2941127,LZ4 compressed data
2944342,2944342,LZ4 compressed data
2946366,2946366,LZ4 compressed data
2950240,2950240,LZ4 compressed data
2953698,2953698,LZ4 compressed data
2956442,2956442,LZ4 compressed data
2960901,2960901,LZ4 compressed data
2965223,2965223,LZ4 compressed data
